Catégorie;Sous-catégorie;Critères techniques
circuitProtection;ESD_TVS;"Tension de tenue (V) | Tension de clampage (V) | Puissance crête (W) | Capacité parasite (pF) | Boîtier"
circuitProtection;fuseHolders;"Type de fusible (5x20mm, ATC...) | Courant max (A) | Tension max (V) | Montage (PCB, panneau)"
circuitProtection;fuses;"Courant nominal (A) | Tension nominale (V) | Pouvoir de coupure (kA) | Type (rapide, retardé)"
connector;Dupont;"Nombre de broches | Pas (mm) | Genre (mâle/femelle) | Courant par broche (A) | Tension max (V) | Montage (traversant, SMD)"
connector;JST;"Nombre de broches | Pas (mm) | Genre (mâle/femelle) | Courant par broche (A) | Tension max (V) | Montage (traversant, SMD)"
connector;powerJacks;"Nombre de broches | Pas (mm) | Genre (mâle/femelle) | Courant par broche (A) | Tension max (V) | Montage (traversant, SMD)"
connector;pinHeader_pinSocket;"Nombre de broches | Pas (mm) | Genre (mâle/femelle) | Courant par broche (A) | Tension max (V) | Montage (traversant, SMD)"
electromechanical;motors;"Type (DC, stepper, servo) | Tension nominale (V) | Courant nominal (A) | Couple (Nm ou kg.cm) | Vitesse (RPM) | Angle par pas (pour stepper)"
electromechanical;relays;"Tension de bobine (V) | Courant bobine (mA) | Tension de commutation max (V) | Courant de commutation max (A) | Nombre de pôles (SPDT, DPDT...)"
embeddedSolutions;computing;"Processeur | Fréquence (MHz) | RAM (Go) | Stockage (Flash/eMMC) | Nombre de GPIO | Interfaces (USB, HDMI, Ethernet)"
embeddedSolutions;developmentKits;"Microcontrôleur (modèle) | Tension logique (3.3V/5V) | Interfaces (I2C, SPI, UART) | Connectique embarquée"
embeddedSolutions;sensorModules;"Type de capteur intégré | Interface (I2C/SPI/Analogique) | Tension d'alimentation (V) | Plage de mesure | Résolution"
embeddedSolutions;communicationRF;"Protocole (LoRa, Zigbee, WiFi, BLE) | Fréquence (MHz) | Puissance de sortie (dBm) | Sensibilité (dBm) | Antenne (intégrée/externe)"
passiveComponents;capacitors;"Capacité (µF/pF) | Tension nominale (V) | Diélectrique (X7R, C0G, électrolytique) | Tolérance (%) | ESR (Ω)"
passiveComponents;inductors;"Inductance (µH/mH) | Courant saturé (A) | Résistance DC (DCR) (Ω) | Fréquence de résonance (MHz)"
passiveComponents;potentiometers;"Résistance (Ω) | Type (linéaire, logarithmique) | Nombre de tours | Tolérance (%)"
passiveComponents;resistors;"Résistance (Ω) | Puissance (W) | Tolérance (%) | Coefficient de température (ppm/°C)"
passiveComponents;signalTransformers;"Rapport de transformation | Inductance primaire (µH) | Plage de fréquence (Hz)"
passiveComponents;quartz;"Fréquence (MHz) | Capacité de charge (pF) | Tolérance de fréquence (ppm) | ESR (Ω)"
power;AC-DC_Converters;"Tension d'entrée (V AC) | Tension de sortie (V DC) | Courant de sortie (A) | Puissance (W) | Rendement (%) | Isolation (oui/non)"
power;DC-DC_Converters;"Tension d'entrée mini/maxi (V) | Tension de sortie (V) | Courant sortie (A) | Rendement (%) | Fréquence de découpage (kHz)"
semiconductors;diodes;"Tension inverse max (Vrrm) | Courant direct moyen (If) | Tension de seuil (Vf) | Type (Schottky, rapide, Zener - préciser Vz)"
semiconductors;embeddedProcessors;"Architecture (ARM, AVR, RISC-V) | Fréquence max (MHz) | Flash (KB/MB) | RAM (KB/MB) | Nombre de broches / GPIO"
semiconductors;integratedCircuits;"Fonction principale (ex: logique, timer) | Tension d'alimentation (V) | Boîtier (DIP, SOIC, QFN) | Courant de repos"
semiconductors;memoryICs;"Type (EEPROM, SRAM, Flash, FRAM) | Capacité (KB/MB) | Interface (I2C, SPI, Parallel) | Tension (V)"
semiconductors;powerManagementICs;"Fonction (Buck, Boost, LDO, chargeur) | Tension entrée/sortie (V) | Courant max (A) | Courant de repos"
semiconductors;wireless_RFSemiconductors;"Fréquence (GHz) | Bande passante (MHz) | Type (modulateur, PA, LNA) | Gain (dB) | Tension"
semiconductors;transistors;"Type (NPN, PNP, N-MOS, P-MOS) | Vce/Vds max (V) | Ic/Id max (A) | Vgs(th) (V) | Hfe ou Rds(on) (Ω)"
semiconductors;gateDriver;"Tension de sortie (V) | Courant de pic (A) | Nombre de canaux | Temps de montée/descente (ns)"
semiconductors;amplifier;"Type (général, rail-to-rail) | Bande passante (MHz) | Tension d'offset (mV) | Alimentation (V)"
semiconductors;buffer;"Tension entrée/sortie (V) | Courant de sortie (mA) | Délai de propagation (ns)"
semiconductors;gpioExpander;"Nombre d'I/O | Interface (I2C/SPI) | Tension logique (V) | Mode (entrée/sortie)"
semiconductors;ledDriver;"Nombre de canaux | Courant par canal (mA) | Tension d'alimentation (V) | Interface de commande (PWM, I2C)"
