Datasheet,Category,Subcategory,MPN,SPN,Quantity,SMD/THT,Package
https://www.mouser.fr/datasheet/2/109/C18481B-2944388.pdf,Optoelectronic,LED,5988G10313F,3584522,60,SMD,custom
https://www.vishay.com/docs/82495/tsop753.pdf,Optoelectronic,IR,TSOP75338TT,1779691,50,SMD,custom
https://www.we-online.com/components/products/datasheet/150060GS55040.pdf,Optoelectronic,LED,150060GS55040,,100,SMD,603
https://www.we-online.com/components/products/datasheet/150060YS55040.pdf,Optoelectronic,LED,150060YS55040,,100,SMD,603
https://www.we-online.com/components/products/datasheet/150060BS55040.pdf,Optoelectronic,LED,150060BS55040,,100,SMD,603
https://www.we-online.com/components/products/datasheet/150060RS55040.pdf,Optoelectronic,LED,150060RS55040,,100,SMD,603
https://www.we-online.com/components/products/datasheet/150060AS55040.pdf,Optoelectronic,LED,150060AS55040,,300,SMD,603
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2-2176057-6,PassiveComponents,resistors,RLP73K3AR11FTDF,2805295,30,SMD,2512
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2-2176057-6,PassiveComponents,resistors,RLP73K3AR16JTE,2805301,30,SMD,2512
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2-2176057-6,PassiveComponents,resistors,RLP73N3AR075JTE,2991966,30,SMD,2512
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773035&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=4-1625999-0,PassiveComponents,resistors,HSC1004R7J,161-6160,5,-,
https://www.vishay.com/docs/20019/rcwe.pdf,PassiveComponents,resistors,RCWE1210R300FKEA,1838677,10,SMD,1210
https://www.we-online.com/components/products/datasheet/744766001.pdf,PassiveComponents,inductors,744766001,,8,SMT,4532
https://www.we-online.com/components/products/datasheet/560050350011.pdf,PassiveComponents,resistors,560050350011,,50,SMD,2010
https://www.we-online.com/components/products/datasheet/74438356220.pdf,PassiveComponents,inductors,74438356220,,3,SMT,4020
https://www.we-online.com/components/products/datasheet/74404084220.pdf,PassiveComponents,inductors,74404084220,,40,SMT,8040
