MPN;SPN;Quantity;SMD/THT;Category;Subcategory;Datasheet URL
5988G10313F;3584522;60;SMD;Optoelectronic;LED;https://www.mouser.fr/datasheet/2/109/C18481B-2944388.pdf
TSOP75338TT;1779691;50;SMD;Optoelectronic;IR;https://www.vishay.com/docs/82495/tsop753.pdf
150060GS55040;—;100;SMD;Optoelectronic;LED;https://www.we-online.com/components/products/datasheet/150060GS55040.pdf
150060YS55040;—;100;SMD;Optoelectronic;LED;https://www.we-online.com/components/products/datasheet/150060YS55040.pdf
150060BS55040;—;100;SMD;Optoelectronic;LED;https://www.we-online.com/components/products/datasheet/150060BS55040.pdf
150060RS55040;—;100;SMD;Optoelectronic;LED;https://www.we-online.com/components/products/datasheet/150060RS55040.pdf
150060AS55040;—;300;SMD;Optoelectronic;LED;https://www.we-online.com/components/products/datasheet/150060AS55040.pdf
RLP73K3AR11FTDF;2805295;30;SMD;PassiveComponents;resistors;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2-2176057-6
RLP73K3AR16JTE;2805301;30;SMD;PassiveComponents;resistors;—
RLP73N3AR075JTE;2991966;30;SMD;PassiveComponents;resistors;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2-2176057-6
HSC1004R7J;161-6160;5;-;PassiveComponents;resistors;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773035&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=4-1625999-0
RCWE1210R300FKEA;1838677;10;SMD;PassiveComponents;resistors;https://www.vishay.com/docs/20019/rcwe.pdf
744766001;—;8;SMT;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/744766001.pdf
560050350011;—;50;SMD;PassiveComponents;resistors;https://www.we-online.com/components/products/datasheet/560050350011.pdf
74438356220;—;3;SMT;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/74438356220.pdf
74404084220;—;40;SMT;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/74404084220.pdf
74404086221;—;15;SMT;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/74404086221.pdf
744066005;—;3;SMT;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/744066005.pdf
7447709220;—;37;SMT;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/7447709220.pdf
784771220;—;6;SMT;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/744771122.pdf
865060462010;—;48;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/865060462010.pdf
865060445005;—;50;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/865060445005.pdf
